"","MovieID","UserID","Rating","Simpl_Hybrid_LM","Compl_Hybrid_LM","X"
"1",1,10,5,4.49801397355655,4.52068021904459,838
"2",1,21,3,3.38727042725934,3.49699327655834,2531
"3",1,36,5,4.55260760512003,4.57602457310649,5051
"4",1,38,5,4.2213795370088,4.2413472051622,5433
"5",1,48,4,4.12126441019925,4.07966091015329,6545
"6",1,49,5,4.15305155886072,4.18479054561038,7116
"7",1,76,5,4.05021600643142,4.12089935348358,10590
"8",1,78,4,3.69297435551052,3.73322034807148,10717
"9",1,80,3,3.97644594428683,4.04574270008599,10885
"10",1,90,3,3.46403519578694,3.49990768493769,11508
"11",1,96,4,3.94030082417729,3.98749183936915,12542
"12",1,114,3,4.09902740966059,4.09842147141962,14026
"13",1,117,3,3.57211542563027,3.57933188663468,14273
"14",1,132,5,3.80681251431897,3.80896336975402,16814
"15",1,134,4,3.95523894005714,4.02041152423199,17075
"16",1,148,5,4.3820048512545,4.38591846819362,19115
"17",1,149,3,4.4084133827429,4.42546631503138,19739
"18",1,157,5,4.18687513051831,4.24643903754063,21358
"19",1,182,5,3.89861873989787,3.89394850068412,25767
"20",1,184,5,4.47498094336704,4.49243685265715,25953
"21",1,187,4,4.02043748767807,4.12927724468464,26218
"22",1,190,3,3.49125332130038,3.52675263393439,26733
"23",1,193,4,3.761232617467,3.8181426880526,27447
"24",1,195,5,4.15224411197155,4.15422858346546,27777
"25",1,204,4,4.35601018092286,4.36384536059324,30316
"26",1,214,4,3.83177297188438,3.84628333133649,31445
"27",1,215,4,4.73331322915564,4.86090777302343,31605
"28",1,223,5,4.00991643515987,4.03319607330255,32801
"29",1,224,3,3.78593724986477,3.8414335321044,33053
"30",1,232,4,3.81680478783143,3.74823363426249,34327
"31",1,237,4,4.32274701963992,4.23280604781166,35003
"32",1,239,5,4.00225645601368,3.81887997086015,35424
"33",1,271,4,4.47270442910436,4.47567481163169,39851
"34",1,300,5,4.49353048206903,4.55435751682862,43505
"35",1,302,4,3.97096656410057,3.92326507638496,44133
"36",1,306,3,3.98445045531008,4.03898218898529,45293
"37",1,308,4,3.73295070619392,3.7182216957651,45681
"38",1,310,4,3.31055366709353,3.30090787731303,46350
"39",1,314,4,3.7920828605139,3.8346447906673,46674
"40",1,325,5,4.59592903475724,4.60527542779651,48298
"41",1,343,5,4.54475671541376,4.60441589911211,52001
"42",1,351,4,3.86706433193425,3.97846676924967,53219
"43",1,355,4,3.93570134373989,3.8980040549664,54288
"44",1,369,5,3.52398329016001,3.40821694192417,55762
"45",1,402,4,4.26801691143458,4.22431223755009,59014
"46",1,403,4,3.87416853809098,3.88374149280806,59302
"47",1,429,5,3.90528230423122,3.94975310535117,64116
"48",1,437,4,4.37288493994379,4.36203220658577,65026
"49",1,451,5,4.20442694135618,4.32601883547213,66935
"50",1,453,3,3.62770638493342,3.67348443010374,67281
"51",1,490,4,4.42852375441592,4.45968548546268,72732
"52",1,495,3,4.04537631337,3.87768753216257,73217
"53",1,496,5,3.48121303293906,3.59216024939721,73263
"54",1,524,5,4.40515516318517,4.42743032836603,77068
"55",1,543,5,4.18163868829459,4.20480810976599,81384
"56",1,546,4,4.06217338552194,4.11063098375114,82167
"57",1,549,5,4.36104717592455,4.33378131855235,82597
"58",1,556,4,3.8480805432131,3.8675022120553,85166
"59",1,563,5,4.22007748515954,4.18015717848759,85981
"60",1,575,4,4.05168939505968,4.06638874730446,87613
"61",1,576,4,3.73308018816147,3.73846694316742,87772
"62",1,595,4,4.18094706161056,4.17207821529428,90213
